,Gerçek,Tahmin
2025-01-01,2624.0865,2625.046200488685
2025-01-02,2624.1003,2624.5292735168105
2025-01-03,2658.5174,2624.5429096163325
2025-01-04,2658.5174,2658.9736318016326
2025-01-05,2658.5174,2658.973581869228
2025-01-06,2634.817,2658.9735202799347
2025-01-07,2649.9402,2635.2635926628777
2025-01-08,2649.9262,2650.3926195567265
2025-01-09,2662.9031,2650.378491811432
2025-01-10,2689.3504,2663.360606895666
2025-01-11,2689.3504,2689.818561819377
2025-01-12,2689.3504,2689.818728248623
2025-01-13,2668.7875,2689.8188255177233
2025-01-14,2668.7519,2669.247160418742
2025-01-15,2695.1781,2669.211488803
2025-01-16,2695.1926,2695.6487978203895
2025-01-17,2702.6863,2695.6634052422396
2025-01-18,2702.6863,2703.1604093304036
2025-01-19,2702.6863,2703.160563713072
2025-01-20,2696.3699,2703.160717411281
2025-01-21,2744.1618,2696.841593460705
2025-01-22,2755.5952,2744.654077629814
2025-01-23,2754.6578,2756.092562481534
2025-01-24,2771.2884,2755.15517431489
2025-01-25,2771.2884,2771.793180978813
2025-01-26,2771.2884,2771.7937222075034
2025-01-27,2742.3068,2771.7942227999447
2025-01-28,2742.1677,2742.798537938174
2025-01-29,2764.7604,2742.6596259056437
2025-01-30,2761.6871,2765.2623521722485
2025-01-31,2798.1968,2762.1880252720566
2025-02-01,2798.1968,2798.7132889463114
2025-02-02,2798.1968,2798.7138360418744
2025-02-03,2814.0358,2798.7143768996334
2025-02-04,2841.886,2814.560833971384
2025-02-05,2869.6463,2842.4232329957144
2025-02-06,2857.7022,2870.195553716122
2025-02-07,2861.2303,2858.2465117041515
2025-02-08,2861.2303,2861.7770371884812
2025-02-09,2861.2303,2861.777867213857
2025-02-10,2918.843,2861.7786907580025
2025-02-11,2918.9325,2919.412464769329
2025-02-12,2905.8955,2919.502986959562
2025-02-13,2931.769,2906.4606594670036
2025-02-14,2882.6253,2932.3453893599067
2025-02-15,2882.6253,2883.174716978617
2025-02-16,2882.6253,2883.175295580433
2025-02-17,2879.7613,2883.175860595045
2025-02-18,2934.2034,2880.3111520716247
2025-02-19,2935.8402,2934.773825400739
2025-02-20,2941.3019,2936.412072328833
2025-02-21,2936.1246,2941.8767956713273
2025-02-22,2936.1246,2936.6979726552195
2025-02-23,2936.1246,2936.6986912655066
2025-02-24,2937.0128,2936.699395931917
2025-02-25,2917.9104,2937.588683649842
2025-02-26,2919.7208,2918.477659874289
2025-02-27,2876.3983,2920.289412845317
2025-02-28,2876.208,2876.9448321753844
2025-03-01,2876.208,2876.754673655168
2025-03-02,2876.208,2876.7548852436353
2025-03-03,2891.2263,2876.7550733894923
2025-03-04,2914.8486,2891.7802129983397
2025-03-05,2918.2553,2915.4131089551465
2025-03-06,2918.1999,2918.8217625521793
2025-03-07,2910.4035,2918.7667480287137
2025-03-08,2910.4035,2910.966987765342
2025-03-09,2910.4035,2910.967317311184
2025-03-10,2884.5336,2910.967633663331
2025-03-11,2915.5794,2885.084615437466
2025-03-12,2937.9577,2916.14488494611
2025-03-13,2986.4564,2938.5336207201417
2025-03-14,2985.7968,2987.05285384211
2025-03-15,2985.7968,2986.3936223658857
2025-03-16,2985.7968,2986.3942722363236
2025-03-17,2989.5188,2986.3949064355365
2025-03-18,3032.251,2990.119270260632
2025-03-19,3050.1754,3032.8695662109844
2025-03-20,3050.4918,3050.802553641409
2025-03-21,3023.4225,3051.120024019645
2025-03-22,3023.4225,3024.0371034470695
2025-03-23,3023.4225,3024.0377869715358
2025-03-24,3009.9222,3024.038453950405
2025-03-25,3021.2439,3010.5319586765077
2025-03-26,3021.3215,3021.8595018228702
2025-03-27,3055.4877,3021.9377360311632
2025-03-28,3084.5015,3056.119587227135
2025-03-29,3084.5015,3085.1467465872556
2025-03-30,3084.5015,3085.1476606369993
2025-03-31,3086.3435,3085.1485563583424
2025-04-01,3115.0514,3086.992352307624
2025-04-02,3114.7409,3115.713858467727
2025-04-03,3114.3916,3115.4042230206346
2025-04-04,3037.3627,3115.0557439393774
2025-04-05,3037.3627,3037.97280597391
2025-04-06,3037.3627,3037.973153552396
2025-04-07,2981.5724,3037.9734858963984
2025-04-08,2981.3324,2982.1559684936933
2025-04-09,3086.9965,2981.91587858096
2025-04-10,3187.2895,3087.6229039754344
2025-04-11,3236.351,3187.9481373906406
2025-04-12,3236.351,3237.025105932357
2025-04-13,3236.351,3237.025670239672
2025-04-14,3211.9744,3237.026238356972
2025-04-15,3247.5862,3212.641755595864
2025-04-16,3350.8022,3248.2653835884043
2025-04-17,3322.916,3351.5106992280216
2025-04-18,3322.9197,3323.616034171095
2025-04-19,3322.9197,3323.620346779958
2025-04-20,3322.9197,3323.620983730523
2025-04-21,3435.907,3323.6216445489054
2025-04-22,3337.6222,3436.6397875943026
2025-04-23,3313.6283,3338.3213930339634
2025-04-24,3315.6828,3314.3206933481474
2025-04-25,3319.0725,3316.3760674934974
2025-04-26,3319.0725,3319.7670391848096
2025-04-27,3319.0725,3319.767367186606
2025-04-28,3338.4077,3319.767715172127
2025-04-29,3338.2127,3339.1091311372884
2025-04-30,3273.5046,3338.914527409866
2025-05-01,3273.6334,3274.1851750838173
2025-05-02,3240.9921,3274.3142317417664
2025-05-03,3240.9921,3241.6628647999223
2025-05-04,3240.9921,3241.6630131184256
2025-05-05,3333.5639,3241.6631846557243
2025-05-06,3397.7541,3334.2629580610724
2025-05-07,3374.7474,3398.472115168131
2025-05-08,3318.5467,3375.458760721975
2025-05-09,3316.0018,3319.2404082157727
2025-05-10,3316.0018,3316.694998546756
2025-05-11,3316.0018,3316.6952791610693
2025-05-12,3236.8221,3316.695570848905
2025-05-13,3236.7645,3237.4900053180786
2025-05-14,3184.7036,3237.4324037726733
2025-05-15,3237.8283,3185.3556176459897
2025-05-16,3202.7885,3238.496248091385
2025-05-17,3202.7885,3203.4459414845833
2025-05-18,3202.7885,3203.4458727228234
2025-05-19,3222.6202,3203.4458434740422
2025-05-20,3291.4822,3223.2835928077257
2025-05-21,3319.5682,3292.166550100286
2025-05-22,3300.4744,3320.2612265117627
2025-05-23,3300.4881,3301.161774660782
2025-05-24,3300.4881,3301.175775489525
2025-05-25,3300.4881,3301.1760873282983
2025-05-26,3345.7797,3301.1764276676986
2025-05-27,3310.0967,3346.482327922875
2025-05-28,3261.1267,3310.787830437398
2025-05-29,3315.4905,3261.8017373832363
2025-05-30,3289.5548,3316.1824613538397
2025-05-31,3289.5548,3290.2387040618523
2025-06-01,3289.5548,3290.238968330175
2025-06-02,3385.8823,3290.2392351906074
2025-06-03,3359.4418,3386.595831446158
2025-06-04,3377.8649,3360.1473359709307
2025-06-05,3361.8984,3378.576475557737
2025-06-06,3311.05,3362.6053002129793
2025-06-07,3311.05,3311.7403201731313
2025-06-08,3311.05,3311.7405406163793
2025-06-09,3317.4868,3311.7407716763837
2025-06-10,3327.1449,3318.1799157885357
2025-06-11,3361.8,3327.841452700676
2025-06-12,3390.8075,3362.507958099479
2025-06-13,3392.0382,3391.5252346512793
2025-06-14,3392.0382,3392.756958851107
2025-06-15,3392.0382,3392.757590724328
2025-06-16,3401.135,3392.7582578188026
2025-06-17,3387.1896,3401.8588981181447
2025-06-18,3374.787,3387.909165549128
2025-06-19,3375.516,3375.502728196463
2025-06-20,3368.2624,3376.2326738157312
2025-06-21,3368.2624,3368.9770688526874
2025-06-22,3368.2624,3368.9777820802124
2025-06-23,3345.5893,3368.9785121777077
2025-06-24,3344.5795,3346.296977955546
2025-06-25,3324.7444,3345.2874034518773
2025-06-26,3336.7813,3325.444806678551
